iter	Passed	Remaining
0	24	7275
1	48	7246
2	71	7126
3	95	7066
4	119	7032
5	144	7057
6	168	7070
7	193	7052
8	217	7024
9	250	7259
10	276	7262
11	300	7204
12	324	7158
13	347	7108
14	372	7069
15	396	7035
16	419	6984
17	444	6959
18	476	7050
19	501	7021
20	524	6964
21	547	6923
22	570	6872
23	594	6834
24	618	6804
25	642	6770
26	666	6741
27	698	6785
28	725	6775
29	750	6750
30	772	6705
31	796	6669
32	820	6636
33	844	6604
34	868	6575
35	892	6544
36	920	6545
37	950	6551
38	974	6521
39	998	6490
40	1021	6453
41	1045	6422
42	1070	6396
43	1096	6378
44	1125	6380
45	1158	6394
46	1182	6363
47	1205	6331
48	1229	6298
49	1254	6271
50	1278	6241
51	1302	6210
52	1325	6175
53	1357	6186
54	1383	6161
55	1406	6126
56	1430	6097
57	1452	6061
58	1477	6033
59	1500	6002
60	1524	5972
61	1548	5943
62	1577	5934
63	1607	5926
64	1631	5897
65	1655	5868
66	1677	5834
67	1700	5801
68	1723	5771
69	1748	5743
70	1771	5714
71	1803	5712
72	1830	5692
73	1854	5662
74	1878	5634
75	1902	5606
76	1925	5576
77	1948	5544
78	1972	5518
79	1996	5491
80	2027	5480
81	2057	5470
82	2083	5447
83	2107	5420
84	2131	5392
85	2162	5379
86	2190	5363
87	2214	5335
88	2240	5311
89	2273	5305
90	2298	5277
91	2321	5247
92	2345	5219
93	2367	5188
94	2390	5159
95	2417	5136
96	2440	5107
97	2472	5095
98	2497	5071
99	2521	5042
100	2545	5014
101	2568	4986
102	2592	4958
103	2615	4928
104	2639	4901
105	2672	4891
106	2697	4866
107	2721	4837
108	2745	4810
109	2768	4781
110	2792	4754
111	2816	4727
112	2839	4699
113	2863	4672
114	2890	4650
115	2931	4650
116	2957	4625
117	2981	4598
118	3005	4571
119	3029	4543
120	3052	4515
121	3075	4487
122	3104	4467
123	3132	4446
124	3157	4420
125	3181	4393
126	3204	4364
127	3227	4336
128	3251	4310
129	3274	4282
130	3297	4254
131	3327	4235
132	3354	4211
133	3378	4185
134	3402	4158
135	3427	4133
136	3452	4108
137	3477	4081
138	3500	4054
139	3523	4026
140	3554	4008
141	3580	3983
142	3602	3955
143	3626	3929
144	3651	3903
145	3674	3876
146	3697	3848
147	3720	3821
148	3744	3794
149	3776	3776
150	3803	3753
151	3827	3726
152	3851	3700
153	3875	3674
154	3898	3647
155	3922	3620
156	3947	3595
157	3971	3569
158	3998	3545
159	4028	3525
160	4053	3499
161	4077	3473
162	4101	3447
163	4125	3420
164	4148	3394
165	4171	3367
166	4195	3341
167	4224	3319
168	4250	3295
169	4274	3269
170	4299	3243
171	4323	3217
172	4346	3190
173	4370	3164
174	4394	3139
175	4418	3113
176	4448	3091
177	4472	3065
178	4495	3038
179	4517	3011
180	4542	2986
181	4565	2960
182	4589	2934
183	4613	2908
184	4636	2881
185	4663	2858
186	4689	2833
187	4712	2807
188	4736	2781
189	4760	2755
190	4785	2730
191	4810	2705
192	4833	2679
193	4857	2653
194	4885	2630
195	4911	2606
196	4935	2580
197	4960	2555
198	4983	2529
199	5007	2503
200	5031	2478
201	5055	2452
202	5079	2427
203	5108	2404
204	5133	2378
205	5156	2353
206	5180	2327
207	5204	2302
208	5228	2276
209	5252	2250
210	5276	2225
211	5300	2200
212	5330	2177
213	5357	2152
214	5389	2130
215	5438	2114
216	5482	2097
217	5525	2078
218	5572	2061
219	5605	2038
220	5629	2012
221	5654	1986
222	5678	1960
223	5702	1934
224	5725	1908
225	5749	1882
226	5774	1856
227	5805	1833
228	5830	1807
229	5853	1781
230	5877	1755
231	5900	1729
232	5924	1703
233	5948	1677
234	5973	1652
235	6005	1628
236	6032	1603
237	6060	1578
238	6085	1553
239	6108	1527
240	6132	1501
241	6156	1475
242	6180	1449
243	6211	1425
244	6236	1400
245	6260	1374
246	6284	1348
247	6308	1322
248	6337	1298
249	6361	1272
250	6386	1246
251	6414	1221
252	6439	1196
253	6475	1172
254	6529	1152
255	6581	1131
256	6635	1110
257	6671	1086
258	6704	1061
259	6742	1037
260	6777	1012
261	6829	990
262	6887	968
263	6938	946
264	6967	920
265	6990	893
266	7014	866
267	7038	840
268	7062	813
269	7085	787
270	7115	761
271	7140	735
272	7162	708
273	7186	681
274	7210	655
275	7234	629
276	7257	602
277	7281	576
278	7305	549
279	7336	524
280	7365	498
281	7391	471
282	7415	445
283	7442	419
284	7465	392
285	7489	366
286	7513	340
287	7535	313
288	7562	287
289	7588	261
290	7612	235
291	7636	209
292	7660	183
293	7684	156
294	7708	130
295	7732	104
296	7755	78
297	7786	52
298	7810	26
299	7832	0
